"id","brand","model","storage","ram","screenSize","frontCamera","rearCamera","battery","price"
"1","Samsung","GalaxyA03","32","3","6.5","5","48","5000","1256000"
"2","Samsung","GalaxyA03","64","4","6.5","5","48","5000","1500000"
"3","Samsung","GalaxyA04","32","3","6.5","5","50","5000","1299000"
"4","Samsung","GalaxyA04","64","4","6.5","5","50","5000","1461000"
"5","Samsung","GalaxyA13","64","4","6.6","8","50","5000","1799000"
"6","Samsung","GalaxyA13","128","4","6.6","8","50","5000","1953000"
"7","Samsung","GalaxyA145G","128","6","6.6","13","50","5000","2700000"
"8","Samsung","GalaxyA23","128","6","6.6","8","50","5000","1899000"
"9","Samsung","GalaxyA235G","128","6","6.6","8","50","5000","2825000"
"10","Samsung","GalaxyA335G","128","6","6.4","13","48","5000","3550000"
"11","Samsung","GalaxyA335G","128","8","6.4","13","48","5000","4291000"
"12","Samsung","GalaxyM535G","256","8","6.7","32","108","5000","3990000"
"13","Samsung","GalaxyM335G","128","6","6.6","8","50","6000","3350000"
"14","Samsung","GalaxyM235G","128","6","6.6","6","50","5000","2950000"
"15","Samsung","GalaxyM32","128","6","6.5","13","48","5000","2860000"
"16","Samsung","GalaxyZFold4","256","12","7.6","10","50","4400","20499000"
"17","Samsung","GalaxyZFold4","512","12","7.6","10","50","4400","23750000"
"18","Samsung","GalaxyZFold4","1000","12","7.6","10","50","4400","28500000"
"19","Samsung","GalaxyZFlip4","256","8","6.7","10","12","3700","13990000"
"20","Samsung","GalaxyZFlip4","512","8","6.7","10","12","3700","15499000"
"21","Samsung","GalaxyZFlip4BespokeEdition","256","8","6.8","10","12","3700","15499000"
"22","Samsung","GalaxyZFold35G","256","12","7.6","4","12","4400","14999000"
"23","Samsung","GalaxyZFold35G","512","12","7.6","4","12","4400","15990000"
"24","Samsung","GalaxyZFlip35G","128","8","6.7","10","12","3300","7721000"
"25","Samsung","GalaxyZFlip35G","256","8","6.7","10","12","3300","8799000"
"26","Samsung","GalaxyS22Ultra","256","12","6.8","40","108","5000","15990000"
"27","Samsung","GalaxyS22Ultra","256","8","6.8","40","108","5000","14799000"
"28","Samsung","GalaxyS22+","128","8","6.4","10","50","4500","10650000"
"29","Samsung","GalaxyS22+","256","8","6.4","10","50","4500","11790000"
"30","Samsung","GalaxyS22","128","8","6.1","10","50","3700","9900000"
"31","Samsung","GalaxyS22","256","8","6.1","10","50","3700","10499000"
"32","Samsung","GalaxyA535G","128","4","6.5","32","64","5000","4500000"
"33","Samsung","GalaxyA535G","256","8","6.5","32","64","5000","5199000"
"34","Samsung","GalaxyS21FE5G","128","8","6.4","32","12","4500","7499000"
"35","Samsung","GalaxyS21FE5G","256","8","6.4","32","12","4500","7999000"
"36","Vivo","Y36","256","8","6.64","16","50","5000","3050000"
"37","Vivo","V275G","256","8","6.78","50","50","4600","5399000"
"38","Vivo","V27e","256","8","6.62","32","64","4600","3789000"
"39","Vivo","Y02","32","3","6.51","5","8","5000","1299000"
"40","Vivo","V25e","128","8","6.44","32","64","4500","3475000"
"41","Vivo","V25Pro5G","256","12","6.56","32","64","4830","7199000"
